id,url,image_name,link
TOP05069Z,https://img.faballey.com/Images/Product/TOP05069Z/1.jpg,Olive Solid Belted Blouse,https://www.faballey.com/olive-solid-belted-blouse-78/prdt
TOP05105Z,https://img.faballey.com/Images/Product/TOP05105Z/1.jpg,Navy Strappy Smocked Top ,https://www.faballey.com/navy-strappy-smocked-top-78/prdt
TOP05115Z,https://img.faballey.com/Images/Product/TOP05115Z/1.jpg,Pink V-Neck Peplum Top,https://www.faballey.com/pink-v-neck-peplum-top-78/prdt
TOP05065Z,https://img.faballey.com/Images/Product/TOP05065Z/1.jpg,Black Floral Frilled Pin Tuck Top ,https://www.faballey.com/black-floral-frilled-pin-tuck-top-78/prdt
TOP05133Z,https://img.faballey.com/Images/Product/TOP05133Z/1.jpg,Dark Green Belted Peplum Knit Top,https://www.faballey.com/dark-green-belted-peplum-knit-top-78/prdt
TOP05140Z,https://img.faballey.com/Images/Product/TOP05140Z/1.jpg,Black Square Neck Knit Top,https://www.faballey.com/black-square-neck-knit-top-78/prdt
TOP05070Z,https://img.faballey.com/Images/Product/TOP05070Z/1.jpg,Maroon Ditsy Floral Strappy Peplum Top ,https://www.faballey.com/wine-ditsy-floral-strappy-peplum-top-78/prdt
TOP05240Z,https://img.faballey.com/Images/Product/TOP05240Z/1.jpg,Light Blue Pleated Halter Neck Top ,https://www.faballey.com/light-blue-pleated-halter-neck-top-78/prdt
TOP05159Z,https://img.faballey.com/Images/Product/TOP05159Z/1.jpg,Grey Wrap Front Gather Knit Top,https://www.faballey.com/grey-wrap-front-gather-knit-top-78/prdt
TOP05234Z,https://img.faballey.com/Images/Product/TOP05234Z/1.jpg,Navy Square Neck Puff Sleeve Top ,https://www.faballey.com/navy-square-neck-puff-sleeve-top-78/prdt
TOP05061Z,https://img.faballey.com/Images/Product/TOP05061Z/1.jpg,Blush Embellished Pleated Top,https://www.faballey.com/embellished-blush-pleated-top-78/prdt
TOP05153Z,https://img.faballey.com/Images/Product/TOP05153Z/1.jpg,Red Ruched Tie Knit Top ,https://www.faballey.com/red-ruched-tie-knit-top-78/prdt
TOP05049Z,https://img.faballey.com/Images/Product/TOP05049Z/1.jpg,Powder Blue Wrap Crop Top,https://www.faballey.com/powder-blue-wrap-crop-top-78/prdt
TOP05029Z,https://img.faballey.com/Images/Product/TOP05029Z/1.jpg,Dusty Pink Embellished Halter Top,https://www.faballey.com/halter-neck-embellished-pink-top-78/prdt
TOP05093Z,https://img.faballey.com/Images/Product/TOP05093Z/1.jpg,Red White Striped Lapel Crop Shirt ,https://www.faballey.com/red-white-striped-lapel-crop-shirt-78/prdt
TOP05080Z,https://img.faballey.com/Images/Product/TOP05080Z/1.jpg,Black Botanical Halter Top ,https://www.faballey.com/black-botanical-halter-top-78/prdt
TOP05144Z,https://img.faballey.com/Images/Product/TOP05144Z/1.jpg,Maroon Front Wrap Knit Crop Top,https://www.faballey.com/maroon-front-wrap-knit-crop-top-78/prdt
TOP05017Z,https://img.faballey.com/Images/Product/TOP05017Z/1.jpg,White Schiffli Ruffle Sleeve Top,https://www.faballey.com/white-schiffly-ruffle-sleeve-top-78/prdt
TOP05157Z,https://img.faballey.com/Images/Product/TOP05157Z/1.jpg,Purple Smocked High Neck Top,https://www.faballey.com/purple-smocked-high-neck-top-78/prdt
TOP05134Z,https://img.faballey.com/Images/Product/TOP05134Z/1.jpg,Maroon Belted Peplum Knit Top,https://www.faballey.com/maroon-belted-peplum-knit-top-78/prdt
BOT00515A,https://img.faballey.com/Images/Product/BOT00515A/1.jpg,Black Mustard Side Striped Jeggings ,https://www.faballey.com/black-mustard-side-striped-jeggings-109/prdt
BOT00478Z,https://img.faballey.com/Images/Product/BOT00478Z/1.jpg,Striped Wide Legged Pants - Pink,https://www.faballey.com/striped-wide-legged-pants-pink-79/prdt
